,AT,AP,AH,AFDP,GTEP,TIT,TAT,TEY,CDP,CO,NOX,predicted,actual,error
0,6.8594,1007.9,96.799,3.5,19.663,1059.2,550.0,114.7,10.605,3.1547,82.722,114.81903,114.7,0.11903076171874716
1,6.785,1008.4,97.118,3.4998,19.728,1059.3,550.0,114.72,10.598,3.2363,82.776,114.927666,114.72,0.2076657104492199
2,6.8977,1008.8,95.939,3.4824,19.779,1059.4,549.87,114.71,10.601,3.2012,82.468,115.13163,114.71,0.4216299438476625
3,7.0569,1009.2,95.249,3.4805,19.792,1059.6,549.99,114.72,10.606,3.1923,82.67,115.16422,114.72,0.4442227172851574
4,7.3978,1009.7,95.15,3.4976,19.765,1059.7,549.98,114.72,10.612,3.2484,82.311,115.22148,114.72,0.5014813232421886
5,7.6998,1010.7,92.708,3.5236,19.683,1059.8,549.97,114.72,10.626,3.4467,82.409,115.19642,114.72,0.4764187622070324
6,7.7901,1011.6,91.983,3.5298,19.659,1060.0,549.87,114.71,10.644,3.4874,82.44,115.368225,114.71,0.6582250976562563
7,7.7139,1012.7,91.348,3.5088,19.673,1059.8,549.92,114.71,10.656,3.6043,83.01,115.21536,114.71,0.5053625488281313
8,7.7975,1013.8,90.196,3.5141,19.634,1060.1,550.09,114.72,10.644,3.3943,82.284,115.19489,114.72,0.4748928833007824
9,8.082,1015.0,88.597,4.0612,23.406,1083.0,550.21,131.7,11.679,1.9081,82.782,132.64229,131.7,0.9422882080078239
10,8.3047,1016.0,86.343,4.087,23.747,1085.3,550.2,133.67,11.703,1.7118,81.995,133.89934,133.67,0.2293377685547
11,8.4684,1016.1,86.491,4.0513,23.734,1085.1,550.14,134.24,11.775,1.4672,80.638,133.95395,134.24,-0.2860510253906341
12,8.8856,1016.2,82.974,4.0503,23.869,1085.9,550.17,134.69,11.864,1.7113,80.533,134.38249,134.69,-0.3075079345703102
13,9.3714,1016.6,79.98,4.0427,23.916,1085.9,550.09,134.68,11.86,1.6637,80.538,134.3157,134.68,-0.3642956542968818
14,9.7962,1017.1,78.061,4.0613,23.962,1085.9,549.97,134.68,11.855,1.4061,80.463,134.20917,134.68,-0.4708325195312568
15,9.6996,1017.9,76.382,4.0719,23.945,1085.9,549.84,134.69,11.85,1.4072,80.522,134.247,134.69,-0.4430059814453102
16,9.3111,1018.8,75.559,4.0578,23.89,1085.9,549.72,134.69,11.845,1.5193,80.648,134.37192,134.69,-0.3180822753906227
17,8.6702,1019.8,77.476,4.0727,23.824,1085.9,549.6,134.69,11.84,1.4201,80.374,134.56046,134.69,-0.12954467773437273
18,8.1375,1020.6,79.741,4.0432,23.832,1085.4,549.99,134.68,11.835,1.6156,80.639,134.36383,134.68,-0.3161694335937568
19,7.0396,1021.2,83.102,4.011,23.655,1084.9,550.03,134.68,11.83,1.6929,81.223,134.2686,134.68,-0.4113995361328193
20,6.5345,1021.7,86.253,4.0678,23.801,1085.7,549.87,134.67,11.867,1.4975,84.556,134.28722,134.67,-0.38278381347655
21,6.4893,1022.2,86.19,4.1476,24.098,1087.6,549.66,133.78,12.014,1.343,86.11,134.84111,133.78,1.0611102294921864
22,6.4935,1022.4,84.82,4.1916,24.053,1088.1,550.03,134.11,11.908,1.3034,86.607,134.4809,134.11,0.37089599609373636
23,6.079,1022.8,85.053,3.521,19.259,1057.0,548.09,112.8,10.565,4.6458,105.15,112.81322,112.8,0.013217163085940342
24,5.4134,1023.8,84.432,3.8312,21.433,1070.4,548.85,122.33,11.186,4.1165,105.73,122.71316,122.33,0.38315765380859546
25,5.4755,1024.0,82.83,4.1239,23.893,1087.2,549.96,133.94,11.968,1.4605,87.298,134.64003,133.94,0.7000299072265648
